text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
"RT @JoshTheFiend: Err not exactly, Alfie Allen as Theon Greyjoy, then as Reek, then as reek-theon, then as Theon Stark. Best performance ev…",05/13/2019,Theo Greyjoy,Pos,0.225,0.3833333333333333,05/13/2019 19:40:37,rt joshthefiend err not exactly alfie allen a theon greyjoy then a reek then a reek theon then a theon stark best performance ev
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:38:24,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:38:02,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:37:47,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
RT @SonnyBunch: imagine naming your son after theon greyjoy https://t.co/LzGKkfIIq6,05/13/2019,Theo Greyjoy,Neu,0.0,0.0,05/13/2019 19:36:04,rt sonnybunch imagine naming your son after theon greyjoy http co lzgkkfiiq6
When does Theon Greyjoy become a man again I Cba for him quivering “I am reek I am reek” every 5 seconds,05/13/2019,Theo Greyjoy,Neu,0.0,0.0,05/13/2019 19:35:09,when doe theon greyjoy become man again cba for him quivering am reek am reek every 5 second
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:32:50,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:32:39,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:30:37,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:30:36,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
