text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
"RT @DanuskoCampos: A new Season 8 version of them
I've did a S4 fanaty back in 2015 https://t.co/4tbwRpJ2NY

#GameofThrones #GameofThroness…",05/16/2019,Sandor Clegane,Pos,0.06818181818181818,0.22727272727272727,05/16/2019 22:08:13,rt danuskocampos new season 8 version of them ve did s4 fanaty back in 2015 http co 4tbwrpj2ny gameofthrones gameofthroness
"RT @DanuskoCampos: A new Season 8 version of them
I've did a S4 fanaty back in 2015 https://t.co/4tbwRpJ2NY

#GameofThrones #GameofThroness…",05/16/2019,Sandor Clegane,Pos,0.06818181818181818,0.22727272727272727,05/16/2019 22:08:08,rt danuskocampos new season 8 version of them ve did s4 fanaty back in 2015 http co 4tbwrpj2ny gameofthrones gameofthroness
"How to fix GoT:
- Jon Snow kills the Night King
- Arya kills the Mountain, when the Hound tries to do an Obiwan-lik… https://t.co/Pmhd4Rgu7v",05/16/2019,Sandor Clegane,Neg,-0.1,0.4,05/16/2019 22:08:07,how to fix got jon snow kill the night king arya kill the mountain when the hound try to do an obiwan lik http co pmhd4rgu7v
"RT @DanuskoCampos: A new Season 8 version of them
I've did a S4 fanaty back in 2015 https://t.co/4tbwRpJ2NY

#GameofThrones #GameofThroness…",05/16/2019,Sandor Clegane,Pos,0.06818181818181818,0.22727272727272727,05/16/2019 22:07:44,rt danuskocampos new season 8 version of them ve did s4 fanaty back in 2015 http co 4tbwrpj2ny gameofthrones gameofthroness
The Hound and Tormund singing https://t.co/pHdhl522vi via @YouTube,05/16/2019,Sandor Clegane,Neu,0.0,0.0,05/16/2019 22:07:43,the hound and tormund singing http co phdhl522vi via youtube
"RT @DanuskoCampos: A new Season 8 version of them
I've did a S4 fanaty back in 2015 https://t.co/4tbwRpJ2NY

#GameofThrones #GameofThroness…",05/16/2019,Sandor Clegane,Pos,0.06818181818181818,0.22727272727272727,05/16/2019 22:07:43,rt danuskocampos new season 8 version of them ve did s4 fanaty back in 2015 http co 4tbwrpj2ny gameofthrones gameofthroness
"RT @DanuskoCampos: A new Season 8 version of them
I've did a S4 fanaty back in 2015 https://t.co/4tbwRpJ2NY

#GameofThrones #GameofThroness…",05/16/2019,Sandor Clegane,Pos,0.06818181818181818,0.22727272727272727,05/16/2019 22:07:41,rt danuskocampos new season 8 version of them ve did s4 fanaty back in 2015 http co 4tbwrpj2ny gameofthrones gameofthroness
"RT @DanuskoCampos: A new Season 8 version of them
I've did a S4 fanaty back in 2015 https://t.co/4tbwRpJ2NY

#GameofThrones #GameofThroness…",05/16/2019,Sandor Clegane,Pos,0.06818181818181818,0.22727272727272727,05/16/2019 22:07:23,rt danuskocampos new season 8 version of them ve did s4 fanaty back in 2015 http co 4tbwrpj2ny gameofthrones gameofthroness
"RT @Planck___: "" There is no justice you dumb cunts. "" -Sandor clegane",05/16/2019,Sandor Clegane,Neg,-0.375,0.5,05/16/2019 22:07:18,rt planck___ there is no justice you dumb cunt sandor clegane
"(Bonus points if Arya says it didn’t matter, it didn’t change anything, and the Hound’s like but it felt pretty fuc… https://t.co/NlDQeK7AYv",05/16/2019,Sandor Clegane,Pos,0.25,1.0,05/16/2019 22:07:14,bonus point if arya say it didn matter it didn change anything and the hound like but it felt pretty fuc http co nldqek7ayv
"In the fight, the Hound overcomes his fear of fire to grab a torch and burn his brother (especially fitting since t… https://t.co/tWK5LjjjTM",05/16/2019,Sandor Clegane,Pos,1.0,1.0,05/16/2019 22:07:13,in the fight the hound overcomes his fear of fire to grab torch and burn his brother especially fitting since http co twk5ljjjtm
"5. So the dead come to King’s Landing. We can have so many character arcs reaching their climatic moments. Arya, us… https://t.co/D8ZcbfY7Ep",05/16/2019,Sandor Clegane,Pos,0.15,0.45,05/16/2019 22:07:12,5 so the dead come to king landing we can have so many character arc reaching their climatic moment arya u http co d8zcbfy7ep
